YEAR,SEAS,TAVG2_C
1993,AU,-2.3208791208791206
1993,SP,-1.3239130434782609
1993,SU,11.273913043478261
1993,WI,-9.942222222222222
1994,AU,-0.8538461538461537
1994,SP,-0.7315217391304347
1994,SU,12.742391304347825
1994,WI,-12.042222222222222
1995,AU,-2.121978021978022
1995,SP,-0.6271739130434782
1995,SU,12.38695652173913
1995,WI,-11.571111111111112
1996,AU,0.8846153846153846
1996,SP,-2.333695652173913
1996,SU,12.795652173913044
1996,WI,-11.965934065934066
1997,AU,-0.6670329670329671
1997,SP,-2.8978260869565218
1997,SU,14.13586956521739
1997,WI,-11.76222222222222
1998,AU,-1.1967032967032967
1998,SP,-3.692391304347826
1998,SU,12.110869565217392
1998,WI,-14.76888888888889
1999,AU,2.3626373626373627
1999,SP,-1.3543478260869564
1999,SU,12.929347826086957
1999,WI,-15.88111111111111
2000,AU,3.0384615384615383
2000,SP,-0.01521739130434783
2000,SU,12.898913043478261
2000,WI,-10.965934065934066
2001,AU,0.28461538461538466
2001,SP,-3.4250000000000003
2001,SU,13.546739130434782
2001,WI,-12.03111111111111
2002,AU,-2.918681318681319
2002,SP,0.893478260869565
2002,SU,14.78913043478261
2002,WI,-13.532222222222224
2003,AU,1.023076923076923
2003,SP,0.9880434782608696
2003,SU,14.133695652173913
2003,WI,-13.585393258426965
2004,AU,-0.10109890109890113
2004,SP,0.15869565217391307
2004,SU,13.36043956043956
2004,WI,-10.472527472527473
2005,AU,3.04
2005,SP,-1.375
2005,SU,14.838043478260868
2005,WI,-9.332584269662922
2006,AU,-0.29890109890109895
2006,SP,-1.1271739130434784
2006,SU,14.225
2006,WI,-10.092222222222222
2007,AU,1.2846153846153847
2007,SP,0.9597826086956521
2007,SU,13.064835164835166
2007,WI,-11.818888888888889
2008,AU,-0.09651162790697673
2008,SP,-1.8543478260869564
2008,SU,11.444565217391306
2008,WI,-7.489010989010989
2009,AU,1.201098901098901
2009,SP,-0.22826086956521735
2009,SU,12.90108695652174
2009,WI,-11.894444444444444
2010,AU,-0.820879120879121
2010,SP,-0.3706521739130434
2010,SU,12.718478260869563
2010,WI,-15.716666666666667
2011,AU,3.191208791208791
2011,SP,1.0021739130434784
2011,SU,14.465217391304348
2011,WI,-11.764444444444443
2012,AU,0.8824175824175824
2012,SP,-0.5163043478260869
2012,SU,12.23913043478261
2012,WI,-14.228571428571428
2013,AU,1.1131868131868132
2013,SP,-1.5630434782608693
2013,SU,14.27282608695652
2013,WI,-9.69111111111111
2014,AU,0.2516483516483517
2014,SP,0.41413043478260864
2014,SU,14.267391304347825
2014,WI,-9.27888888888889
2015,AU,2.534065934065934
2015,SP,1.8464788732394366
2015,SU,11.94891304347826
2015,WI,-9.898888888888889
2016,AU,1.353846153846154
2016,SP,2.0293478260869566
2016,SU,13.655434782608696
2016,WI,-11.193406593406594
2017,AU,0.6967032967032968
2017,SP,-1.8184782608695653
2017,SU,12.421739130434782
2017,WI,-10.113333333333333
2018,AU,2.3650602409638557
2018,SP,0.004347826086956468
2018,SU,14.930434782608694
2018,WI,-11.557777777777778
2019,AU,-1.254945054945055
2019,SP,-0.06956521739130435
2019,SU,12.701086956521738
2019,WI,-11.395555555555555
2020,AU,7.716216216216216
2020,SP,-0.8271739130434782
2020,SU,14.437362637362638
2020,WI,-9.195
